priority,segment,company,base,why_now,role_to_contact,channel,offer_fit,notes
1,SEA offshore SI contractor,HELMS Geomarine,Kuala Lumpur,PETRONAS CCS 3+2yr SI frame (Jun 2026); Sarawak jack-up P&A drilling Jan-Mar 2026,Geotechnical manager / operations manager,Direct + LinkedIn,"2,3,1,6",Scope announced includes jack-up assessments and driveability; offer remote packages
1,SEA offshore SI contractor,Asian Geos,Kuala Lumpur,Gardline partner; SEA O&G and cable surveys,Operations manager,Direct,"1,2,6",Verify current activity
1,SEA offshore SI contractor,Fugro Singapore / Fugro Malaysia,Singapore,Fugro alumni; Taiwan FengMiao II SI Q3 2026; O&G growth,Regional geotechnical manager (ex-colleagues),Warm intro,"1,2,3,6",Fugro laying up vessels: ask about freelance pool and remote analysis overflow
1,SEA offshore SI contractor,Fugro Taiwan / Fugro UST21 Korea,Taipei / Seoul,APAC wind SI survivors,Project manager,Warm intro via Fugro alumni,"1,6",Local content favours partners; go via Fugro network
2,SEA offshore SI contractor,Geoquip Marine,Singapore office,Global geotechnical vessel operator,Regional manager,Direct,"1,6",Verify SEA activity 2026
2,SEA offshore SI contractor,Gardline,Great Yarmouth / Asia via Asian Geos,Drilling vessel Ocean Vantage,Geotechnical services manager,Direct,"1,6",
2,SEA offshore SI contractor,Benthic,Perth / Singapore,PROD seabed drilling; Australia and SEA,Operations manager,Direct,"1,6",
2,SEA offshore SI contractor,EGS (Asia),Hong Kong / Singapore,Geophysical and geotechnical surveys SEA,Regional geotechnical lead,Direct,"1,6",
2,SEA offshore SI contractor,Horizon Geosciences,Dubai / Singapore,Middle East and Asia SI,Geotechnical manager,Direct,"1,2,3",Middle East jack-up work
2,SEA offshore SI contractor,Ocean Infinity,Singapore,Survey and SI,Operations,Direct,"1",Verify geotechnical scope
2,SEA offshore SI contractor,PT Geotindo / Indonesian SI contractors,Jakarta,Indonesia O&G and CCS,Director,Direct,"2,3,6",Verify names; Indonesian local content
1,Marine warranty / rig-move,ABL Group (incl. ex-LOC and AqualisBraemar),Singapore / Perth,Bass Strait vessel suitability surveys; rig moves SEA,Geotechnical / marine ops lead,Direct,"2,3,1",Subcontracts independent SSA reviewers
1,Marine warranty / rig-move,DNV Jack-up and Geotechnical,Singapore / Kuala Lumpur,SSA services APAC,Section head,Direct,"2,3",
1,Marine warranty / rig-move,Cathie Group,UK / Asia clients,JACA; 1500+ SSAs,Geotechnical director,Direct,"2,3",Ask about overflow subcontracting
1,Marine warranty / rig-move,Global Maritime,Singapore,SSA with Cathie,Regional manager,Direct,"2",
2,Marine warranty / rig-move,Ryder Engineering / Ryder Geotechnical,UK,In-house LPA software,Director,Direct,"2,3",Remote overflow
2,Marine warranty / rig-move,Longitude Engineering,UK / Asia,SSA and rig moves,Marine ops lead,Direct,"2",
2,Marine warranty / rig-move,Calypso,UK,SSA/LPA/going-on-location,Director,Direct,"2",
2,Marine warranty / rig-move,Noble Denton legacy teams (now DNV/ABL),Singapore,Rig-move approvals,Rig-move engineers,Warm intro,"2",
1,Drilling contractor,Velesto Energy,Kuala Lumpur,Malaysian jack-up fleet; 2026 campaigns,Operations / rig-move coordinator,Direct,"2,1",
1,Drilling contractor,Borr Drilling,Singapore / SEA ops,Jack-ups in SEA and Middle East,Regional operations manager,Direct,"2",
1,Drilling contractor,Valaris,Singapore / SEA ops,Jack-ups APAC,Rig-move engineering,Direct,"2",
